archived_url,article_url,id,language,media_name,media_url,publish_date,title,url
https://web.archive.org/web/20231025035609/https://www.24heures.ch/football-yb-city-les-prix-senvolent-la-surface-inquiete-195287966161,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLXliLWNpdHktbGVzLXByaXgtc2Vudm9sZW50LWxhLXN1cmZhY2UtaW5xdWlldGUtMTk1Mjg3OTY2MTYx,20231025035609,fr,24heures.ch,http://24heures.ch,2023-10-24 00:00:00,"Football – YB-City: les prix s’envolent, la surface inquiète",https://www.24heures.ch/football-yb-city-les-prix-senvolent-la-surface-inquiete-195287966161
https://web.archive.org/web/20231108073001/https://www.24heures.ch/football-yb-na-pas-eu-la-moindre-chance-a-manchester-city-981242560969,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2Zvb3RiYWxsLXliLW5hLXBhcy1ldS1sYS1tb2luZHJlLWNoYW5jZS1hLW1hbmNoZXN0ZXItY2l0eS05ODEyNDI1NjA5Njk~,20231108073001,fr,24heures.ch,http://24heures.ch,2023-11-07 00:00:00,Football – YB n’a pas eu la moindre chance face à Manchester City,https://www.24heures.ch/football-yb-na-pas-eu-la-moindre-chance-a-manchester-city-981242560969
https://web.archive.org/web/20230712014423/https://www.24heures.ch/granit-xhaka-les-raisons-dun-retour-en-allemagne-343406793312,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2dyYW5pdC14aGFrYS1sZXMtcmFpc29ucy1kdW4tcmV0b3VyLWVuLWFsbGVtYWduZS0zNDM0MDY3OTMzMTI~,20230712014423,fr,24heures.ch,http://24heures.ch,2023-07-08 00:00:00,"Football – Granit Xhaka, les raisons d’un retour en Allemagne",https://www.24heures.ch/granit-xhaka-les-raisons-dun-retour-en-allemagne-343406793312
https://web.archive.org/web/20221215081506/https://www.24heures.ch/il-avait-deja-cette-determination-dans-tout-ce-quil-faisait-982102787343,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2lsLWF2YWl0LWRlamEtY2V0dGUtZGV0ZXJtaW5hdGlvbi1kYW5zLXRvdXQtY2UtcXVpbC1mYWlzYWl0LTk4MjEwMjc4NzM0Mw~~,20221215081506,fr,24heures.ch,http://24heures.ch,2022-12-14 00:00:00,Qatar 2022 – «Yassine Bounou avait déjà cette détermination dans tout ce qu’il faisait»,https://www.24heures.ch/il-avait-deja-cette-determination-dans-tout-ce-quil-faisait-982102787343
https://web.archive.org/web/20220914081449/https://www.24heures.ch/l-inter-reste-en-vie-dans-le-groupe-de-la-mort-les-spurs-dans-le-dur-795002179908,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2wtaW50ZXItcmVzdGUtZW4tdmllLWRhbnMtbGUtZ3JvdXBlLWRlLWxhLW1vcnQtbGVzLXNwdXJzLWRhbnMtbGUtZHVyLTc5NTAwMjE3OTkwOA~~,20220914081449,fr,24heures.ch,http://24heures.ch,2022-09-13 00:00:00,"Football – L'Inter reste en vie dans le groupe de la mort, les «Spurs» dans le dur",https://www.24heures.ch/l-inter-reste-en-vie-dans-le-groupe-de-la-mort-les-spurs-dans-le-dur-795002179908
https://web.archive.org/web/20230720025527/https://www.24heures.ch/la-folle-trajectoire-de-la-pepite-genevoise-zeki-amdouni-506456423135,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2xhLWZvbGxlLXRyYWplY3RvaXJlLWRlLWxhLXBlcGl0ZS1nZW5ldm9pc2UtemVraS1hbWRvdW5pLTUwNjQ1NjQyMzEzNQ~~,20230720025527,fr,24heures.ch,http://24heures.ch,2023-07-19 00:00:00,Départ en Angleterre – La folle trajectoire de la pépite genevoise Zeki Amdouni,https://www.24heures.ch/la-folle-trajectoire-de-la-pepite-genevoise-zeki-amdouni-506456423135
https://web.archive.org/web/20221012064756/https://www.24heures.ch/la-juve-coule-city-freine-343386962279,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2xhLWp1dmUtY291bGUtY2l0eS1mcmVpbmUtMzQzMzg2OTYyMjc5,20221012064756,fr,24heures.ch,http://24heures.ch,2022-10-11 00:00:00,"Football – La Juve coule, le PSG et City freinés",https://www.24heures.ch/la-juve-coule-city-freine-343386962279
https://web.archive.org/web/20221026172100/https://www.24heures.ch/la-juve-sombre-benfica-le-psg-et-dortmund-o-k-793442046065,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2xhLWp1dmUtc29tYnJlLWJlbmZpY2EtbGUtcHNnLWV0LWRvcnRtdW5kLW8tay03OTM0NDIwNDYwNjU~,20221026172100,fr,24heures.ch,http://24heures.ch,2022-10-25 00:00:00,"Football – La Juve sombre, Benfica, le PSG et Dortmund O.K.",https://www.24heures.ch/la-juve-sombre-benfica-le-psg-et-dortmund-o-k-793442046065
https://web.archive.org/web/20230419084354/https://www.24heures.ch/lac-milan-et-le-real-madrid-filent-en-demi-finales-737567063539,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2xhYy1taWxhbi1ldC1sZS1yZWFsLW1hZHJpZC1maWxlbnQtZW4tZGVtaS1maW5hbGVzLTczNzU2NzA2MzUzOQ~~,20230419084354,fr,24heures.ch,http://24heures.ch,2023-04-18 00:00:00,Football – L’AC Milan et le Real Madrid filent en demi-finales,https://www.24heures.ch/lac-milan-et-le-real-madrid-filent-en-demi-finales-737567063539
https://web.archive.org/web/20230628044338/https://www.24heures.ch/lausanne-terre-daccueil-du-mondial-2025-avec-les-meilleurs-jeunes-519706234565,https://wayback-api.archive.org/colsearch/v1/mediacloud/article/Y2gsMjRoZXVyZXMpL2xhdXNhbm5lLXRlcnJlLWRhY2N1ZWlsLWR1LW1vbmRpYWwtMjAyNS1hdmVjLWxlcy1tZWlsbGV1cnMtamV1bmVzLTUxOTcwNjIzNDU2NQ~~,20230628044338,fr,24heures.ch,http://24heures.ch,2023-06-27 00:00:00,"Basketball – Lausanne, terre d’accueil du Mondial 2025 avec les meilleurs jeunes",https://www.24heures.ch/lausanne-terre-daccueil-du-mondial-2025-avec-les-meilleurs-jeunes-519706234565
